Country,Area,Continent,Parameter,Age,Sex,Variable,SIGICategories,Categories,Value,Average,Latitude,Longitude
Hong Kong,Eastern Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,59.2,50.0755,-2.4378
Japan,Eastern Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,98.8,57.3,1.4419,1.2663
Japan,Eastern Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,67.8,57.3,1.4419,1.2663
Japan,Eastern Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,57.3,1.4419,1.2663
Japan,Eastern Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,72.4,57.3,1.4419,1.2663
Japan,Eastern Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,57.3,1.4419,1.2663
Japan,Eastern Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,92.2,57.3,1.4419,1.2663
Japan,Eastern Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,85.6,57.3,1.4419,1.2663
Japan,Eastern Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,57.3,1.4419,1.2663
Japan,Eastern Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,70.7,57.3,1.4419,1.2663
Japan,Eastern Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,74.1,57.3,1.4419,1.2663
Japan,Eastern Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,83.6,57.3,1.4419,1.2663
Japan,Eastern Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,77.4,57.3,1.4419,1.2663
Japan,Eastern Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,99.4,57.3,1.4419,1.2663
Japan,Eastern Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,57.3,1.4419,1.2663
Korea,Eastern Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,98.7,53.4,55.6761,-8.5683
Korea,Eastern Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,78.6,53.4,55.6761,-8.5683
Korea,Eastern Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,53.4,55.6761,-8.5683
Korea,Eastern Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,24.5,53.4,55.6761,-8.5683
Korea,Eastern Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,53.4,55.6761,-8.5683
Korea,Eastern Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,58.9,53.4,55.6761,-8.5683
Korea,Eastern Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,67.5,53.4,55.6761,-8.5683
Korea,Eastern Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,53.4,55.6761,-8.5683
Korea,Eastern Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,48,53.4,55.6761,-8.5683
Korea,Eastern Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,47.1,53.4,55.6761,-8.5683
Korea,Eastern Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,35.3,53.4,55.6761,-8.5683
Korea,Eastern Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,52.1,53.4,55.6761,-8.5683
Korea,Eastern Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,99.8,53.4,55.6761,-8.5683
Korea,Eastern Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,53.4,55.6761,-8.5683
Mongolia,Eastern Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,99,45.2,13.8251,8.5903
Mongolia,Eastern Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,38.7,45.2,13.8251,8.5903
Mongolia,Eastern Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,45.2,13.8251,8.5903
Mongolia,Eastern Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,26.5,45.2,13.8251,8.5903
Mongolia,Eastern Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,45.2,13.8251,8.5903
Mongolia,Eastern Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,37.1,45.2,13.8251,8.5903
Mongolia,Eastern Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,62.6,45.2,13.8251,8.5903
Mongolia,Eastern Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,45.2,13.8251,8.5903
Mongolia,Eastern Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,50.7,45.2,13.8251,8.5903
Mongolia,Eastern Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,55,45.2,13.8251,8.5903
Mongolia,Eastern Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,39.5,45.2,13.8251,8.5903
Mongolia,Eastern Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,58.7,45.2,13.8251,8.5903
Mongolia,Eastern Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,96.1,45.2,13.8251,8.5903
Mongolia,Eastern Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,45.2,13.8251,8.5903
Bulgaria,Eastern Europe,Europe,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,84.3,51.24,22.3017,-62.3881
Bulgaria,Eastern Europe,Europe,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,58.1,51.24,22.3017,-62.3881
Bulgaria,Eastern Europe,Europe,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,51.24,22.3017,-62.3881
Bulgaria,Eastern Europe,Europe,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,32.4,51.24,22.3017,-62.3881
Bulgaria,Eastern Europe,Europe,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,51.24,22.3017,-62.3881
Bulgaria,Eastern Europe,Europe,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,81.7,51.24,22.3017,-62.3881
Bulgaria,Eastern Europe,Europe,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,58.5,51.24,22.3017,-62.3881
Bulgaria,Eastern Europe,Europe,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,51.24,22.3017,-62.3881
Bulgaria,Eastern Europe,Europe,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,54.6,51.24,22.3017,-62.3881
Bulgaria,Eastern Europe,Europe,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,70.3,51.24,22.3017,-62.3881
Bulgaria,Eastern Europe,Europe,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,71.9,51.24,22.3017,-62.3881
Bulgaria,Eastern Europe,Europe,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,61.4,51.24,22.3017,-62.3881
Bulgaria,Eastern Europe,Europe,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,98.2,51.24,22.3017,-62.3881
Bulgaria,Eastern Europe,Europe,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,51.24,22.3017,-62.3881
Czechia,Eastern Europe,Europe,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,93.4,50.02,28.4861,-66.9312
Czechia,Eastern Europe,Europe,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,76.7,50.02,28.4861,-66.9312
Czechia,Eastern Europe,Europe,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,50.02,28.4861,-66.9312
Czechia,Eastern Europe,Europe,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,55.9,50.02,28.4861,-66.9312
Czechia,Eastern Europe,Europe,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,50.02,28.4861,-66.9312
Czechia,Eastern Europe,Europe,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,97.4,50.02,28.4861,-66.9312
Czechia,Eastern Europe,Europe,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,50.2,50.02,28.4861,-66.9312
Czechia,Eastern Europe,Europe,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,50.02,28.4861,-66.9312
Czechia,Eastern Europe,Europe,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,50.3,50.02,28.4861,-66.9312
Czechia,Eastern Europe,Europe,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,73.4,50.02,28.4861,-66.9312
Czechia,Eastern Europe,Europe,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,67.8,50.02,28.4861,-66.9312
Czechia,Eastern Europe,Europe,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,56.1,50.02,28.4861,-66.9312
Czechia,Eastern Europe,Europe,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,99.8,50.02,28.4861,-66.9312
Czechia,Eastern Europe,Europe,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,50.02,28.4861,-66.9312
Hungary,Eastern Europe,Europe,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,86.9,57.3,-0.1807,-78.4678
Hungary,Eastern Europe,Europe,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,61.2,57.3,-0.1807,-78.4678
Hungary,Eastern Europe,Europe,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,57.3,-0.1807,-78.4678
Hungary,Eastern Europe,Europe,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,55.2,57.3,-0.1807,-78.4678
Hungary,Eastern Europe,Europe,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,57.3,-0.1807,-78.4678
Hungary,Eastern Europe,Europe,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,88.5,57.3,-0.1807,-78.4678
Hungary,Eastern Europe,Europe,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,44.7,57.3,-0.1807,-78.4678
Hungary,Eastern Europe,Europe,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,57.3,-0.1807,-78.4678
Hungary,Eastern Europe,Europe,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,67.1,57.3,-0.1807,-78.4678
Hungary,Eastern Europe,Europe,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,77.2,57.3,-0.1807,-78.4678
Hungary,Eastern Europe,Europe,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,52.3,57.3,-0.1807,-78.4678
Hungary,Eastern Europe,Europe,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,71.3,57.3,-0.1807,-78.4678
Hungary,Eastern Europe,Europe,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,99.2,57.3,-0.1807,-78.4678
Hungary,Eastern Europe,Europe,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,57.3,-0.1807,-78.4678
Moldova,Eastern Europe,Europe,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,62.9,44.2,25.0444,3.2357
Moldova,Eastern Europe,Europe,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,67.2,44.2,25.0444,3.2357
Moldova,Eastern Europe,Europe,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,44.2,25.0444,3.2357
Moldova,Eastern Europe,Europe,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,37.2,44.2,25.0444,3.2357
Moldova,Eastern Europe,Europe,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,44.2,25.0444,3.2357
Moldova,Eastern Europe,Europe,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,87,44.2,25.0444,3.2357
Moldova,Eastern Europe,Europe,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,65.1,44.2,25.0444,3.2357
Moldova,Eastern Europe,Europe,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,44.2,25.0444,3.2357
Moldova,Eastern Europe,Europe,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,47.7,44.2,25.0444,3.2357
Moldova,Eastern Europe,Europe,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,61.9,44.2,25.0444,3.2357
Moldova,Eastern Europe,Europe,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,44.2,25.0444,3.2357
Moldova,Eastern Europe,Europe,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,56,44.2,25.0444,3.2357
Moldova,Eastern Europe,Europe,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,92.9,44.2,25.0444,3.2357
Moldova,Eastern Europe,Europe,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,44.2,25.0444,3.2357
Poland,Eastern Europe,Europe,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,95.7,69.8,28.6929,-89.2182
Poland,Eastern Europe,Europe,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,66.4,69.8,28.6929,-89.2182
Poland,Eastern Europe,Europe,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,69.8,28.6929,-89.2182
Poland,Eastern Europe,Europe,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,39,69.8,28.6929,-89.2182
Poland,Eastern Europe,Europe,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,69.8,28.6929,-89.2182
Poland,Eastern Europe,Europe,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,90.3,69.8,28.6929,-89.2182
Poland,Eastern Europe,Europe,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,82.6,69.8,28.6929,-89.2182
Poland,Eastern Europe,Europe,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,69.8,28.6929,-89.2182
Poland,Eastern Europe,Europe,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,69.7,69.8,28.6929,-89.2182
Poland,Eastern Europe,Europe,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,76.5,69.8,28.6929,-89.2182
Poland,Eastern Europe,Europe,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,48.6,69.8,28.6929,-89.2182
Poland,Eastern Europe,Europe,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,78.3,69.8,28.6929,-89.2182
Poland,Eastern Europe,Europe,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,98.8,69.8,28.6929,-89.2182
Poland,Eastern Europe,Europe,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,69.8,28.6929,-89.2182
Romania,Eastern Europe,Europe,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,65.7,57.5,2.75,-9.7833
Romania,Eastern Europe,Europe,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,62.6,57.5,2.75,-9.7833
Romania,Eastern Europe,Europe,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,57.5,2.75,-9.7833
Romania,Eastern Europe,Europe,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,50.3,57.5,2.75,-9.7833
Romania,Eastern Europe,Europe,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,57.5,2.75,-9.7833
Romania,Eastern Europe,Europe,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,91.5,57.5,2.75,-9.7833
Romania,Eastern Europe,Europe,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,77,57.5,2.75,-9.7833
Romania,Eastern Europe,Europe,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,57.5,2.75,-9.7833
Romania,Eastern Europe,Europe,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,59.7,57.5,2.75,-9.7833
Romania,Eastern Europe,Europe,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,60.2,57.5,2.75,-9.7833
Romania,Eastern Europe,Europe,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,64,57.5,2.75,-9.7833
Romania,Eastern Europe,Europe,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,63.5,57.5,2.75,-9.7833
Romania,Eastern Europe,Europe,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,93.2,57.5,2.75,-9.7833
Romania,Eastern Europe,Europe,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,57.5,2.75,-9.7833
Slovak Republic,Eastern Europe,Europe,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,94,56.9,17.332,2.933
Slovak Republic,Eastern Europe,Europe,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,67.6,56.9,17.332,2.933
Slovak Republic,Eastern Europe,Europe,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,56.9,17.332,2.933
Slovak Republic,Eastern Europe,Europe,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,31,56.9,17.332,2.933
Slovak Republic,Eastern Europe,Europe,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,56.9,17.332,2.933
Slovak Republic,Eastern Europe,Europe,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,94.5,56.9,17.332,2.933
Slovak Republic,Eastern Europe,Europe,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,46.2,56.9,17.332,2.933
Slovak Republic,Eastern Europe,Europe,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,56.9,17.332,2.933
Slovak Republic,Eastern Europe,Europe,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,51,56.9,17.332,2.933
Slovak Republic,Eastern Europe,Europe,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,58,56.9,17.332,2.933
Slovak Republic,Eastern Europe,Europe,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,75.1,56.9,17.332,2.933
Slovak Republic,Eastern Europe,Europe,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,55,56.9,17.332,2.933
Slovak Republic,Eastern Europe,Europe,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,98.9,56.9,17.332,2.933
Slovak Republic,Eastern Europe,Europe,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,56.9,17.332,2.933
Ukraine,Eastern Europe,Europe,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,80.7,53.8,59.437,9.7535
Ukraine,Eastern Europe,Europe,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,59.3,53.8,59.437,9.7535
Ukraine,Eastern Europe,Europe,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,53.8,59.437,9.7535
Ukraine,Eastern Europe,Europe,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,26.2,53.8,59.437,9.7535
Ukraine,Eastern Europe,Europe,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,53.8,59.437,9.7535
Ukraine,Eastern Europe,Europe,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,68.9,53.8,59.437,9.7535
Ukraine,Eastern Europe,Europe,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,67.5,53.8,59.437,9.7535
Ukraine,Eastern Europe,Europe,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,53.8,59.437,9.7535
Ukraine,Eastern Europe,Europe,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,55.1,53.8,59.437,9.7535
Ukraine,Eastern Europe,Europe,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,69.2,53.8,59.437,9.7535
Ukraine,Eastern Europe,Europe,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,41.8,53.8,59.437,9.7535
Ukraine,Eastern Europe,Europe,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,56.2,53.8,59.437,9.7535
Ukraine,Eastern Europe,Europe,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,93.5,53.8,59.437,9.7535
Ukraine,Eastern Europe,Europe,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,53.8,59.437,9.7535
Fiji,Melanesia,Oceania,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,none,21.5,-16.3,7.1415
Fiji,Melanesia,Oceania,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,none,21.5,-16.3,7.1415
Fiji,Melanesia,Oceania,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,21.5,-16.3,7.1415
Fiji,Melanesia,Oceania,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,none,21.5,-16.3,7.1415
Fiji,Melanesia,Oceania,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,21.5,-16.3,7.1415
Fiji,Melanesia,Oceania,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,75.8,21.5,-16.3,7.1415
Fiji,Melanesia,Oceania,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,21.5,-16.3,7.1415
Fiji,Melanesia,Oceania,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,21.5,-16.3,7.1415
Fiji,Melanesia,Oceania,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,21.5,-16.3,7.1415
Fiji,Melanesia,Oceania,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,21.5,-16.3,7.1415
Fiji,Melanesia,Oceania,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,21.5,-16.3,7.1415
Fiji,Melanesia,Oceania,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,21.5,-16.3,7.1415
Fiji,Melanesia,Oceania,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,96.1,21.5,-16.3,7.1415
Fiji,Melanesia,Oceania,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,21.5,-16.3,7.1415
Papua New Guinea,Melanesia,Oceania,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,none,34.6,11.0,-0.74
Papua New Guinea,Melanesia,Oceania,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,none,34.6,11.0,-0.74
Papua New Guinea,Melanesia,Oceania,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,50.1,34.6,11.0,-0.74
Papua New Guinea,Melanesia,Oceania,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,none,34.6,11.0,-0.74
Papua New Guinea,Melanesia,Oceania,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,44.8,34.6,11.0,-0.74
Papua New Guinea,Melanesia,Oceania,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,31,34.6,11.0,-0.74
Papua New Guinea,Melanesia,Oceania,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,34.6,11.0,-0.74
Papua New Guinea,Melanesia,Oceania,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,34.6,11.0,-0.74
